user,message
Sovan MnC,"Ha dekhte hai. Caretaker bhi harami hai
"
Ashish Mnc,"Ha
"
Rishav Ranaut(MnC) Roommate,"1st floor pe room exchange ke lie available hai to btana
"
Rishav Ranaut(MnC) Roommate,"Nhi mrko hasi arhi thi
"
Ashish Mnc,"Ab sayad hi koi exchange kre pura room
"
Rishav Ranaut(MnC) Roommate,"Kya fayda tumhara
"
Rishav Ranaut(MnC) Roommate,"Mm pdhna h na?
"
Ashish Mnc,"Aur bhi 2 subject hai Math ke
"
Rishav Ranaut(MnC) Roommate,"https://youtu.be/sD468LfeVdc?si=YkeqM2JJjSJX3412
"
Rishav Ranaut(MnC) Roommate,"<Media omitted>
"
Ashish Mnc,"Ye kaha ka hai?
"
Rishav Ranaut(MnC) Roommate,"Iit patna
"
Ashish Mnc,"Mujhe to nhi aaya
"
Souvik IIT Patna MnC,"Kaise dekhna hai?
"
Rishav Ranaut(MnC) Roommate,"Check mail
"
Rishav Ranaut(MnC) Roommate,"Shakti 8.9 cgpa
"
Souvik IIT Patna MnC,"Nahi aaya toh mail
"
Souvik IIT Patna MnC,"Mera bhi check kar ke bata do
"
Rishav Ranaut(MnC) Roommate,"Usne btaya ye
"
Ashish Mnc,"Mere ko bhi nhi aaya
"
Rishav Ranaut(MnC) Roommate,"Refresh
"
Sovan MnC,"Mail kaha aya
"
Souvik IIT Patna MnC,"Kiya toh
"
Rishav Ranaut(MnC) Roommate,"Mail me
"
Souvik IIT Patna MnC,"Website nahi hai koi??
"
Sovan MnC,"@917891273930  bolo
"
Shakti Singh Mnc,"@919816668240  link share kro
"
Ashish Mnc,"Ha
"
Rishav Ranaut(MnC) Roommate,"😂😂
"
Souvik IIT Patna MnC,"Ha vai
"
Sovan MnC,"Link de
"
Shakti Singh Mnc,"@919816668240  9.4
"
Souvik IIT Patna MnC,"Link please
"
Rishav Ranaut(MnC) Roommate,"Kese link mangrhe
"
Shakti Singh Mnc,"🔥
"
Sovan MnC,"Bakchodi mat kar lawre
"
Rishav Ranaut(MnC) Roommate,"🤣🤣🤣🤣
"
Ashish Mnc,"Ye na harami kuch prank kr rha
"
Sovan MnC,"Ha aur kya
"
Rishav Ranaut(MnC) Roommate,"😂😂😂
"
Ashish Mnc,"Kyuki academic office ka photo match nhi horha
"
Ashish Mnc,"Khi aur ka bhej rha ye BC
"
Rishav Ranaut(MnC) Roommate,"😂😂
"
Rishav Ranaut(MnC) Roommate,"Prank h
"
Souvik IIT Patna MnC,"Madarchod
"
Sovan MnC,"@917891273930 adobe mai edit  karna sikh raha hai ki coding karna?
"
Rishav Ranaut(MnC) Roommate,"🤣
"
Ashish Mnc,"++++++++++++++
"
Sovan MnC,"2-4 gunda bhej de
"
Souvik IIT Patna MnC,"Mai khud hi aa jata hu
"
Sovan MnC,"Ae gadi nikal. Hum first
"
Ashish Mnc,"Isko front end bnane ko milega company me ye Adobe se bnayega
"
Shakti Singh Mnc,"Bhai mene kuch na kiya🤣🤣🤣.... Me iske sath na hu🤣🤣🤣
"
Ashish Mnc,"Bach gya tu 
Tu to Ghar bhi nhi gya
"
Shakti Singh Mnc,"Bhai isne to common group me bi share kr diya
"
Rishav Ranaut(MnC) Roommate,"Msg are link ke
"
Rishav Ranaut(MnC) Roommate,"Wo drive bala link Dena
"
Sovan MnC,"Bol na link viral ho jayega
"
Sovan MnC,"@918839279483
"
Sovan MnC,"Guppy
"
Rishav Ranaut(MnC) Roommate,"Abi koi front end bale se prank hai kuch type ka bnvaa lete
"
Ashish Mnc,"Pagal Tissue Lelo
"
Ashish Mnc,"Ye vala drive link chahiye kya?
"
Lucky MnC,"Yha phone aane lg gye mere ko.. bhai kaha se grade dekhna h
"
Sovan MnC,"Wohi link bhej de.
"
Sovan MnC,"Aur bol de good night
"
Lucky MnC,"bc.. chain se sone bhi nhi dete.. @919816668240 tumhare prank ki wajah se😂
"
Lucky MnC,"Telegram pe aur updated material dhundh rha hu
"
Mintu MnC,"Nehi Aya yr
"
Sovan MnC,"Upload kar dena udhar
"
Rishav Ranaut(MnC) Roommate,"🤣🤣🤣
"
Ashish Mnc,"link share krke group pr 
sb phone off krdo
"
Lucky MnC,"Kuch nhi Topper log ko result dekhne ki jldi thi😂
"
Lucky MnC,"Phone, sim sb bnd kr k ghar bhag jaaunga😂
"
Mintu MnC,"😂😂😂
"
Mintu MnC,"Vhi to topper lok dekhke bata Raha h hum pass kiye ki nehi kiya
"
Lucky MnC,"Ghar jaa kr bhi agr group mein bkchodi kr rhe hai... mtlb ghar pe bore ho chuke ho
"
Rishav Ranaut(MnC) Roommate,"True
"
Rishav Ranaut(MnC) Roommate,"Gf msg ni kr rhi bc
"
Mintu MnC,"Tera gf kab se h be
"
Rishav Ranaut(MnC) Roommate,"69 hain
"
Mintu MnC,"Pike pare reh
"
Rishav Ranaut(MnC) Roommate,"🤣😂😂
"
Lucky MnC,"Hoti sbki hai.. pr batata koi nhi 🙂
"
Lucky MnC,"@919816668240  k prank ka Ek gazab reply aaya hai..
"
Lucky MnC,"Send kru kya😂😂
"
Rishav Ranaut(MnC) Roommate,"Kya
"
Ashish Mnc,"ha
"
Mintu MnC,"Kar
"
Lucky MnC,"<Media omitted>
"
Rishav Ranaut(MnC) Roommate,"🤣😂🤣😂🤣
"
Rishav Ranaut(MnC) Roommate,"Kon hai ye
"
Ashish Mnc,"badd-dua lg gyi Rishav ko
"
Lucky MnC,"<Media omitted>
"
Shakti Singh Mnc,"Bhai @919816668240  tera kaam me kr lunga tu tension mt lena tu pdi kr bss😁😜
"
Rishav Ranaut(MnC) Roommate,"Chup bsdk
"
Ashish Mnc,"tu bhi to padhayi krta 
vo sb hmare upar chor de
"
Shakti Singh Mnc,"Dono chel lenge 😜
"
Ashish Mnc,"done
"
Lucky MnC,"jarurat k waqt.. bhai ki madad krte hue.. Shakti
"
Ashish Mnc,"Facebook Post
"
Lucky MnC,"Mujhe video send kr dena.. sbko google drive pe updated material chahiye tha🙂
"
Rishav Ranaut(MnC) Roommate,"Ye manisha kahan hai aaj
"
Ashish Mnc,"me to tere bharose baitha tha
"
Ashish Mnc,"Photoshop sikh rhi lgta
"
Rishav Ranaut(MnC) Roommate,"🤣😂
"
Rishav Ranaut(MnC) Roommate,"Bn gyi kya developer
"
Lucky MnC,"par tu toh dost ki madad kr rha na.. bs help krte hue video send kr dena
"
Ashish Mnc,"achcha
"
Ashish Mnc,"Call krke puch le
"
Rishav Ranaut(MnC) Roommate,"null
"
Lucky MnC,"bhai khub gariya rhe dusre branch waale.. mujhe bol rhe sb😂😂😂
"
Rishav Ranaut(MnC) Roommate,"Ldkiyon ko idhr msg krne bol
"
Lucky MnC,"<Media omitted>
"
Lucky MnC,"Mai sirf naam ka *Lucky* ka hu... asli life mein *Lucky* nhi hu bhai🥲
"
Ashish Mnc,"sed life
"
Lucky MnC,"mai *Lucky* dusro k liye hu.. khud k liye nhi hu..🥲
"
Lucky MnC,"Logo k marks badhwa deta hu, proxy lagwa deta hu, ghum hui cycle khoj deta hu
"
Ashish Mnc,"Pura MnC ko paal rha hai tu hi
"
Ashish Mnc,"Ghum huyi cycle tk khoj ke derha😂
"
Intaz Mnc,"😂😂😂
"
Intaz Mnc,"Chor bhi khtmn tha yaar, use karke rakh k bhi chala gaya ghar
"
Ashish Mnc,"vo bahar nhi le ja paya hoga isiliye rkh Diya vahi Aeroplane ke pass
"
Intaz Mnc,"Mujhe toh lagra guilty feel aa gayi hogi 😆
"
Ashish Mnc,"🤣😂
"
Ankit Anand Mnc,"😂
"
Ankit Anand Mnc,"Mere cycle ka Nai aaya 🥹🥹🥹
"
Ashish Mnc,"mil bhi jaye to ab lekr kya kroge
"
Ankit Anand Mnc,"🙊
"
Rishav Ranaut(MnC) Roommate,"Kya kehra hu asif se bat krlena monday ko yad se
"
Rishav Ranaut(MnC) Roommate,"Woi last hope hai
"
Ashish Mnc,"Aaja tu ghar pr to bore hi horha hai na
"
Rishav Ranaut(MnC) Roommate,"Are krlena please
"
Rishav Ranaut(MnC) Roommate,"🥺
"
Ashish Mnc,"Manisha ko bol vahi baat kregi
"
Ashish Mnc,"Mna usko baat krne ke liye
"
Rishav Ranaut(MnC) Roommate,"Nhi kri baat to dosti khtm usse
"
Manisha Jaishwal Mnc,"Number de do @919816668240 ka
"
Rishav Ranaut(MnC) Roommate,"Ab ye ek ek krke sare msg padhegi
"
Manisha Jaishwal Mnc,"Vo bhi tmhe gali degi
"
Manisha Jaishwal Mnc,"Shutup
"
Mintu MnC,"Koi profile update kar diye
"
Lucky MnC,"???
"
Mintu MnC,"Nehi kiya
"
Mintu MnC,"Program detail me kya dulna h
"
Mintu MnC,"<Media omitted>
"
Sovan MnC,"Kisika registration ho raha hai?
"
Mintu MnC,"Bol kya Dena h?
"
Manisha Jaishwal Mnc,"Course
"
Sovan MnC,"Ha
"
Mintu MnC,"At first Moodie pe profile update kar le
"
Sovan MnC,"Diya to hai
"
Sovan MnC,"Kar liya
"
Mintu MnC,"O Maine dula h
"
Sovan MnC,"Koi course registration karke confirm karo
"
Manisha Jaishwal Mnc,"ha abhi kisi ne kiya nhi h krti hu
"
Mintu MnC,"Nehi ho raha h
"
Sovan MnC,"You cannot register aa raha hai?
"
Manisha Jaishwal Mnc,"Sem 2
"
Manisha Jaishwal Mnc,"You cannot enroll urself in this course likh rha🤣
"
Manisha Jaishwal Mnc,"Yes
"
Ashish Mnc,"Ek aur course elective me agya hai hmlog ke liye
Wireless Networks
"
Suraj Kumar,"Usko lenge
"
Manisha Jaishwal Mnc,"😲
"
Sovan MnC,"Kon faculty hai
"
Ashish Mnc,"Mayank krke koi
"
-- Raja,"Agarwal?
"
Mintu MnC,"Haa
"
Mintu MnC,"This message was deleted
"
Mintu MnC,"<Media omitted>
"
Manisha Jaishwal Mnc,"Sem 1 hi hoga
"
Ashish Mnc,"Edit profile krke semester 1 krdo hojayega
"
Manisha Jaishwal Mnc,"Kaisa Teacher h?
"
Ashish Mnc,"In current semester
"
Manisha Jaishwal Mnc,"<Media omitted>
"
Manisha Jaishwal Mnc,"Core kr do
"
Manisha Jaishwal Mnc,"Elective soch lena
"
Sovan MnC,"Bohut accha
"
Rishav Ranaut(MnC) Roommate,"mm and wireless networks hogya mera then
"
Ashish Mnc,"Sahi me?
"
Sovan MnC,"Ha suna hai
"
-- Raja,"Bohot sahi hai
"
Ashish Mnc,"Marks kaise deta hai? <This message was edited>
"
Rishav Ranaut(MnC) Roommate,"moka milrha rajiv mishra ko chorne ka to me to choruga
"
-- Raja,"Puchta hun
"
-- Raja,"😅
"
Rishav Ranaut(MnC) Roommate,"raja bsdk
"
-- Raja,"Me lunga.. mayank sir ka aur advance algorithm...mera fixed hai
"
-- Raja,"Haa bhai bol
"
Rishav Ranaut(MnC) Roommate,"mmll
"
Lucky MnC,"Coder🙂
"
Ashish Mnc,"iska full form mujhe dm kr
"
-- Raja,"Lovde ka coder
"
-- Raja,"Muh me
"
Ashish Mnc,"ye sb 202 me krna tumlog yha nhi
"
-- Raja,"Thik hai
"
Lucky MnC,"Lele
"
-- Raja,"Bsdk
"
Rishav Ranaut(MnC) Roommate,"ashish syllabus bhej bhai
"
-- Raja,"Chalo.. optional ka nautanki khatam hua
"
Ashish Mnc,"Kiska?
"
Lucky MnC,"Full form pura bata rha tha mai🙂
"
-- Raja,"Pata hai
"
-- Raja,"Wireless ka mang raha hoga
"
Rishav Ranaut(MnC) Roommate,"wireless ka
"
Ashish Mnc,"BSDK khud CR hai mujhse mang rha
"
Rishav Ranaut(MnC) Roommate,"deep learning chaiye bhai
"
-- Raja,"Tu assistant CR hai
"
Rishav Ranaut(MnC) Roommate,"cr hu iska mtlv kya mene sb ka syllabus rlkha h  bsdk
"
Ashish Mnc,"Aaja 118 me Sethji de denge learning deep me
"
Rishav Ranaut(MnC) Roommate,"hhaaa
"
-- Raja,"<Media omitted>
"
Ashish Mnc,"rhne de
"
-- Raja,"🤣🤣🤣
"
Rishav Ranaut(MnC) Roommate," class Solution{
    public     //Complete this function
    //Function to check whether there is a subarray present with 0-sum or not.
    bool subArrayExists(int arr[], int n)
    {
        //Your code here
        int pre[n];
        pre[0]=arr[0];
        if(pre[0]==0)
        return true;
        for(int i=1;i<n;i++)
        {
            pre[i]=arr[i]+pre[i-1];
            if(pre[i]==0)
            return true;
        }
        map<int,int>mp;
        for(int i=0;i<n;i++)
        {
            if(mp[pre[i]]==0)
            mp[pre[i]]=i+1;
            else
            return true;
            
        }
        return false;
    }
};

explain this code
"
Rishav Ranaut(MnC) Roommate,"map bala part
"
-- Raja,"Kya
"
Ashish Mnc,"Map padh liya tune?
"
Rishav Ranaut(MnC) Roommate,"Hn
"
-- Raja,"Code toh sahi hai
"
-- Raja,"Kya janna hai bata?
"
Rishav Ranaut(MnC) Roommate,"Dm me voice pe explain krde
"
-- Raja,"Okay
"
Ashish Mnc,"to me Advance in Algorithm aur Wireless Networks lerha hu
"
Lucky MnC,"+1
"
-- Raja,"Haa
"
-- Raja,"You deleted this message
"
-- Raja,"You deleted this message
"
Manisha Jaishwal Mnc,"Mai bhi
"
Manisha Jaishwal Mnc,"Chlo yrr khtm hua ab dimag khrab
"
-- Raja,"Steak Tut gya..guys 🥲..
"
Lucky MnC,"Snapchat pe
"
-- Raja,"Usme bhi streak hota hai kya?🤣
"
-- Raja,"Kis chis ka streak
"
Lucky MnC,"mai toh usi ka streak jaanta hu
"
Lucky MnC,"Thanks to @918340354033
"
-- Raja,"🤣🤣
"
Manisha Jaishwal Mnc,"17 lakh
"
Lucky MnC,"apni crush ko msg bhejne ka streak bnta hai udhar
"
-- Raja,"Achha
"
Lucky MnC,"usee ₹17 lakh + ₹1 ka package chahiye
"
Lucky MnC,"Phir shaadi fix hai @918340354033 ka
"
-- Raja,"Explain
"
Lucky MnC,"Bhabhi ji ₹17lpa k package pe hai.. bhai ko usse jyada ka package chahiye.. phir crush se shaadi fix😍 <This message was edited>
"
-- Raja,"Crush se bhi shadi ho raha kya ajkal
"
Lucky MnC,"hota hai.. kuch logo ka
"
Lucky MnC,"mera toh arrange marriage ho jaaye mai usi mein khush hu
"
-- Raja,"Wo log Lucky hoga phir...
"
-- Raja,"Tera name wala lucky nehi
"
Lucky MnC,"haan bhai
"
Lucky MnC,"mai toh isme bhi 50 baar reject ho jaaunga😂
"
-- Raja,"You deleted this message
"
Suraj Kumar,"<Media omitted>
"
Rishav Ranaut(MnC) Roommate,"Santosh ki maka
"
Lucky MnC,"Aree tu batana.. shaadi k mandup se utha lenge bhabhi ji ko
"
Ashish Mnc,"Who is Santosh?
"
Rishav Ranaut(MnC) Roommate,"Hai ek noob
"
-- Raja,"Assistant register, IIT Patna <This message was edited>
"
Ashish Mnc,"Ab usme kya kiya ?
"
-- Raja,"Kuch nehi kia.. issliye gussa hai.. rishav
"
Ashish Mnc,"Oh my god
"
Rishav Ranaut(MnC) Roommate,"<Media omitted>
"
-- Raja,"Nice
"
-- Raja,"You deleted this message
"
Shakti Singh Mnc,"This message was deleted
"
Ashish Mnc,"Ye hai kya?
"
Rishav Ranaut(MnC) Roommate,"<Media omitted>
"
Rishav Ranaut(MnC) Roommate,"Khatta bolte hain isko
"
-- Raja,"Ye wala item Bengal me start karna padega
"
Rishav Ranaut(MnC) Roommate,"😁😁
"
Ashish Mnc,"Mitha bhut hai Bengal me
"
-- Raja,"Mithai*
"
Ashish Mnc,"😂
"
Manisha Jaishwal Mnc,"Hme khila rhe ?
"
Rishav Ranaut(MnC) Roommate,"Khalo 😂
"
Manisha Jaishwal Mnc,"Kr diya register sbne ??
"
Manisha Jaishwal Mnc,"Ye aachar h ??
"
Rishav Ranaut(MnC) Roommate,"Nhi
"
Manisha Jaishwal Mnc,"Acha
"
Rishav Ranaut(MnC) Roommate,"Noob
"
Manisha Jaishwal Mnc,"Kya tumko larayi krne me mza aata h
"
Manisha Jaishwal Mnc,"Kya h vo aachar nhi h toh
"
Rishav Ranaut(MnC) Roommate,"Achaar nhi h noob
"
Manisha Jaishwal Mnc,"<Media omitted>
"
Rishav Ranaut(MnC) Roommate,"null
"
-- Raja,"Rockstar bsdk
"
Rishav Ranaut(MnC) Roommate,"😂😂😂
"
Manisha Jaishwal Mnc,"Kiska chasma lga liye
"
Rishav Ranaut(MnC) Roommate,"Mera hi h
"
Lucky MnC,"aur ye shimla mein diya verma ki kidnapping krne jaa rhe.. hamare mnc k CR😎
"
Rishav Ranaut(MnC) Roommate,"Haha bsdk
"
Rishav Ranaut(MnC) Roommate,"Ye course registration bala kal b kr skte na?
"
-- Raja,"Haa
"
-- Raja,"Kal 12 baje tak
"
Ashish Mnc,"Aaj konsa zaruri appointment hai tumhara?
"
Rishav Ranaut(MnC) Roommate,"Are bahr aya hu
"
Rishav Ranaut(MnC) Roommate,"Bore horha bc
"
Ashish Mnc,"Aaja Wapis
"
Rishav Ranaut(MnC) Roommate,"Hahaha
"
Manisha Jaishwal Mnc,"Mt aana yha
"
Rishav Ranaut(MnC) Roommate,"Kyu ji
"
Manisha Jaishwal Mnc,"Kr diya register maine
"
Rishav Ranaut(MnC) Roommate,"Meri trf se?
"
Manisha Jaishwal Mnc,"Vhi shi ho tum
"
Manisha Jaishwal Mnc,"Apna kiya h
"
Rishav Ranaut(MnC) Roommate,"Kyu ji
"
Rishav Ranaut(MnC) Roommate,"Aauga me to
"
Manisha Jaishwal Mnc,"<Media omitted>
"
Ashish Mnc,"Kyu gadbad krwana chah rha apna
"
Manisha Jaishwal Mnc,"Shutup
"
Ashish Mnc,"Ok
"
Rishav Ranaut(MnC) Roommate,"Ye kya bakwas subject lelie
"
Manisha Jaishwal Mnc,"Kya lena tha
"
Manisha Jaishwal Mnc,"Modelling nhi aati mere ko
"
Rishav Ranaut(MnC) Roommate,"How to not become cute
"
Manisha Jaishwal Mnc,"Cute hu mai
"
Lucky MnC,"Fashion modelling ki baat bhi nhi kr rha wo🙂
"
Rishav Ranaut(MnC) Roommate,"Kon bola hai tumko ye
"
Ashish Mnc,"Iska future bf
"
Rishav Ranaut(MnC) Roommate,"My god
"
Rishav Ranaut(MnC) Roommate,"🤣
"
Ashish Mnc,"Jo abhi tk mila nhi hai
"
Rishav Ranaut(MnC) Roommate,"Gayab ho jati jab sare sigma ek sath ajate
"
Manisha Jaishwal Mnc,"Dfa ho jao yha se
"
Ashish Mnc,"Are yaar 
Akele padd jati hai😂
"
Lucky MnC,"@917903412729 man hi man khub gaali deti hogi.. udhar CSE waale kitna acha treat krte mujhe.. yha sab taang khichte rehte mera <This message was edited>
"
Manisha Jaishwal Mnc,"Beh nhi rhti mai unke sath
"
Rishav Ranaut(MnC) Roommate,"Sbse acha ldka kon hai mnc me?
"
-- Raja,"Ye kya tha
"
Ashish Mnc,"Idhar Sigma log ke bich me rhna sahi lgta na?
"
Manisha Jaishwal Mnc,"Akeli nhi hu mai
"
Manisha Jaishwal Mnc,"Sigma mai hu
"
Lucky MnC,"abhi Female gigachad @919971327753  aa gyi na.. Saare sigma patli gali se nikl lenge😂
"
Rishav Ranaut(MnC) Roommate,"🤣🤣🤣
"
Manisha Jaishwal Mnc,"gigachad
"
Manisha Jaishwal Mnc,"🤣
"
-- Raja,"🤣🤣🤣
"
Rishav Ranaut(MnC) Roommate,"Ek msg ka reply nhi kia tmne
"
Ashish Mnc,"Sarkari naukari se pareshan hai gigachad
"
Manisha Jaishwal Mnc,"Tum
"
Rishav Ranaut(MnC) Roommate,"😅😅
"
Ashish Mnc,"Oh my god
"
Manisha Jaishwal Mnc,"Kr diya
"
Rishav Ranaut(MnC) Roommate,"Dosto
"
Rishav Ranaut(MnC) Roommate,"Me fir b sigma rhuga
"
Manisha Jaishwal Mnc,"96 gf se tareef sunn k aaya h ab mere se bhi tareef krwa rha
"
Rishav Ranaut(MnC) Roommate,"69
"
Manisha Jaishwal Mnc,"With 96
"
Rishav Ranaut(MnC) Roommate,"Number maintain krta hu me
"
Ashish Mnc,"@917478789490 isko Sigma hone ka rule number 1 bta
"
Manisha Jaishwal Mnc,"Kl 96 bole the
"
Rishav Ranaut(MnC) Roommate,"69 hi bola tha
"
Manisha Jaishwal Mnc,"Acha
"
Lucky MnC,"<Media omitted>
"
-- Raja,"Never call yourself sigma
"
Rishav Ranaut(MnC) Roommate,"Are🤣🤣🤣
"
Ashish Mnc,"Ye mobile ulta krke use krti na
"
Rishav Ranaut(MnC) Roommate,"🤣
"
-- Raja,"Password bhul gya mai
"
Rishav Ranaut(MnC) Roommate,"Kiska
"
Ashish Mnc,"Yes 😎
"
-- Raja,"Uski Dil ka
"
Lucky MnC,"aaye
"
Rishav Ranaut(MnC) Roommate,"Bapre
"
-- Raja,"null
"
Ashish Mnc,"Baigan
"
Rishav Ranaut(MnC) Roommate,"@917903412729 tumhe pta h kya
"
-- Raja,"Bakchodi maat ka
"
-- Raja,"Kar
"
Rishav Ranaut(MnC) Roommate,"😂😂😂
"
Ashish Mnc,"😂
"
-- Raja,"Help kar
"
Rishav Ranaut(MnC) Roommate,"Usually ham ex ka nam save krte h na
"
Manisha Jaishwal Mnc,"Nimisha aajkl hmesa dikh rhi baat nhi ho rhi tmhari ??
"
Intaz Mnc,"Mera bhi same horq 😂
"
Rishav Ranaut(MnC) Roommate,"Hahahahahha
"
-- Raja,"Abehh
"
Ashish Mnc,"Kaha dikh rhi ye Mt btana 😂
"
-- Raja,"You deleted this message
"
Manisha Jaishwal Mnc,"Zinda rhne deti usko
"
Manisha Jaishwal Mnc,"Forget password ??
"
-- Raja,"🤣🤣🤣
"
Lucky MnC,"password reset nhi hota kya😅
"
Rishav Ranaut(MnC) Roommate,"Filhal jo mere pas bali hai wo roothi pdi h
"
Rishav Ranaut(MnC) Roommate,"Usko mnana jada imp h
"
Intaz Mnc,"Bhai kal toh khul ra tha same password se
"
-- Raja,"Bas password hi hota hai..baki kuch nehi hota <This message was edited>
"
Rishav Ranaut(MnC) Roommate,"Manisha reset button h kya😂
"
-- Raja,"🤣🤣🤣
"
Lucky MnC,"Cycle milne se password badal gya hoga
"
Intaz Mnc,"Aayein?
"
-- Raja,"Baigan
"
Rishav Ranaut(MnC) Roommate,"Ben stokes meri thand se fat gyi hai yahan
"
-- Raja,"Kya chis
"
Rishav Ranaut(MnC) Roommate,"Aag. B ni jalaai inhone
"
Rishav Ranaut(MnC) Roommate,"Patna me to thi hi ni thand
"
-- Raja,"You deleted this message
"
Lucky MnC,"roothi hui gf ko mana... wrna thandi se nipat jaayega
"
Rishav Ranaut(MnC) Roommate,"Woi
"
Rishav Ranaut(MnC) Roommate,"Most imp task for now
"
-- Raja,"<Media omitted>
"
Rishav Ranaut(MnC) Roommate,"Iamnotsigma@
"
-- Raja,"Weak
"
Rishav Ranaut(MnC) Roommate,"🤣
"
Rishav Ranaut(MnC) Roommate,"Manisha btayegi
"
Manisha Jaishwal Mnc,"This message was deleted
"
Manisha Jaishwal Mnc,"This message was deleted
"
Rishav Ranaut(MnC) Roommate,"null
"
-- Raja,"null
"
Rishav Ranaut(MnC) Roommate,"Aaien
"
-- Raja,"🤣🤣
"
-- Raja,"Baigan
"
-- Raja,"Pagal hai kya ye
"
Rishav Ranaut(MnC) Roommate,"Noob h
"
Rishav Ranaut(MnC) Roommate,"Isko rishav classes ki jrurt hai
"
Manisha Jaishwal Mnc,"Aur tumko Manisha classes ki
"
Rishav Ranaut(MnC) Roommate,"Thik h fir deadlock mt krdena
"
Manisha Jaishwal Mnc,"Static 2PL h nhi hoga <This message was edited>
"
Ashish Mnc,"Kya delete horha idhar
"
Rishav Ranaut(MnC) Roommate,"😂😂
"
Rishav Ranaut(MnC) Roommate,"Ye jada dbms pdhli
"
Ashish Mnc,"Isiliye to highest hai
"
Rishav Ranaut(MnC) Roommate,"Wo to tu h
"
Ashish Mnc,"But mujhe nhi yaad strict 2pl kya hota😂
"
Lucky MnC,"ye delete waale msgs phir se send krna😂
"
Rishav Ranaut(MnC) Roommate,"Are wo cute bni thi
"
Manisha Jaishwal Mnc,"Static
"
Ashish Mnc,"Vo bhi nhi pta😂
"
Ashish Mnc,"Sahi me😂
"
Manisha Jaishwal Mnc,"Tum tez bne the ja k do number badhwa liye vrna mera tha highest
"
Rishav Ranaut(MnC) Roommate,"Noobs
"
Rishav Ranaut(MnC) Roommate,"75 ana chaiye the
"
Manisha Jaishwal Mnc,"Iske alawa kch aata h tumko
"
Ashish Mnc,"3-4 number badhwaya
"
Rishav Ranaut(MnC) Roommate,"Pr thik h topper kam me nipat gya
"
Manisha Jaishwal Mnc,"Bhak
"
Ashish Mnc,"70 ka hi tha
"
Ashish Mnc,"61 aaya tha phle
"
Manisha Jaishwal Mnc,"End 75 ka tha
"
Manisha Jaishwal Mnc,"Mere 65 h
"
Manisha Jaishwal Mnc,"Chlo guys bye
"
Ashish Mnc,"Tb to tu hi topper huyi na
"
Rishav Ranaut(MnC) Roommate,"Chli gyi walk pe ye
"
Ashish Mnc,"Dubey ke saath
"
Rishav Ranaut(MnC) Roommate,"😂😂
"
Ashish Mnc,"Subah se hi khoj rha tha isko
"
Lucky MnC,"akela ho gya wo.. kisi ka saath toh chahiye na
"
Ashish Mnc,"CS valo se bhi nhi baat horhi iski
"
Rishav Ranaut(MnC) Roommate,"Hurt mt kro
"
Rishav Ranaut(MnC) Roommate,"😂
"
Ashish Mnc,"Ohk
"
Lucky MnC,"socha tha akele.. mnc aur cse.. dono jagah haath maarunga
"
Rishav Ranaut(MnC) Roommate,"Tune
"
Lucky MnC,"but plan flop ho gya
"
Lucky MnC,"Dubey ji
"
Rishav Ranaut(MnC) Roommate,"😂😂😂
"
Lucky MnC,"meri probability toh <0 hai <This message was edited>
"
Rishav Ranaut(MnC) Roommate,"1 hai
"
Lucky MnC,"ab sahi hai😂
"
-- Raja,"You deleted this message
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"sahi h na mera
"
Ankit Anand Mnc,"?
"
Ankit Anand Mnc,"koe confirm karo plz
"
Ashish Mnc,"...
"
Intaz Mnc,"Haa
"
Rishav Ranaut(MnC) Roommate,"@917905298719 end sem k papers ki pdf bna dega kya mere paper room me hain
"
Rishav Ranaut(MnC) Roommate,"drive me daaL DETA HU
"
-- Raja,"@919816668240 drive ka access ko change kar de
"
Rishav Ranaut(MnC) Roommate,"MTLV
"
-- Raja,"You deleted this message
"
-- Raja,"Tu mnc walo ka mail I'd add kar dena..free time me..
"
-- Raja,"Jaise last time kia tha
"
Rishav Ranaut(MnC) Roommate,"kr to dia hai add mnc balo ka
"
Rishav Ranaut(MnC) Roommate,"kyu saaanp bn rha
"
Rishav Ranaut(MnC) Roommate,"kisko share krna h
"
-- Raja,"General access me dekh sem2 wala..wo sayed public hai
"
Rishav Ranaut(MnC) Roommate,"usme email dalni hai sbki ye bolrha h tu?
"
-- Raja,"Haa
"
Rishav Ranaut(MnC) Roommate,"ok
"
Ashish Mnc,"Tu kya sahi me assistant smjh rkha hai kya mere ko?
"
Rishav Ranaut(MnC) Roommate,"😂😂😂😂
"
Ashish Mnc,"Khud bhi krle kuch
"
Rishav Ranaut(MnC) Roommate,"krde bhai please
"
Ashish Mnc,"Me nhi kr rha kuch
"
Rishav Ranaut(MnC) Roommate,"😂😂
"
Manisha Jaishwal Mnc,"Gpay kro usko
"
Rishav Ranaut(MnC) Roommate,"tumhe pta b hai gpay hota kya hai
"
Ashish Mnc,"Tumhe lgta hai me gpay se Maan jaunga?
"
Ashish Mnc,"Tum MSc vale ho vo to btech vali hi hai 😂
"
Rishav Ranaut(MnC) Roommate,"🤣🤣🤣🤣
"
Ashish Mnc,"Usko nhi pta hoga
"
Manisha Jaishwal Mnc,"Tum rhne do soo jao vha
"
Rishav Ranaut(MnC) Roommate,"hahaha noob
"
Manisha Jaishwal Mnc,"Soo jao
"
